work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size
2020,mid,full-time,79833,0,L
2020,senior,full-time,260000,0,S
2020,senior,full-time,109024,50,M
2020,mid,full-time,20000,0,S
2020,senior,full-time,150000,50,L
2020,entry,full-time,72000,100,L
2020,senior,full-time,190000,100,S
2020,mid,full-time,35735,50,L
2020,mid,full-time,135000,100,L
2020,senior,full-time,125000,50,S
2020,entry,full-time,51321,0,S
2020,mid,full-time,40481,0,L
2020,entry,full-time,39916,0,M
2020,mid,full-time,87000,100,L
2020,mid,full-time,85000,100,L
2020,mid,full-time,8000,50,L
2020,entry,full-time,41689,100,S
2020,senior,full-time,114047,100,S
2020,entry,full-time,5707,50,M
2020,mid,full-time,56000,100,M
2020,mid,full-time,43331,0,M
2020,mid,full-time,6072,100,L
2020,senior,full-time,47899,50,L
2020,mid,full-time,98000,0,M
2020,mid,full-time,115000,0,L
2020,executive,full-time,325000,100,L
2020,entry,full-time,42000,50,L
2020,senior,full-time,33511,0,S
2020,entry,contract,100000,100,L
2020,senior,full-time,117104,50,L
2020,mid,full-time,59303,100,S
2020,entry,full-time,70000,100,L
2020,senior,full-time,68428,100,L
2020,mid,full-time,450000,0,M
2020,mid,full-time,46759,50,L
2020,mid,full-time,74130,50,L
2020,mid,full-time,103000,100,L
2020,entry,full-time,250000,50,L
2020,entry,full-time,10000,100,S
2020,entry,full-time,138000,100,S
2020,mid,full-time,45760,100,S
2020,executive,full-time,79833,50,L
2020,mid,full-time,50180,0,M
2020,mid,full-time,106000,100,L
2020,mid,full-time,112872,50,L
2020,entry,part-time,15966,100,S
2020,mid,full-time,76958,100,S
2020,senior,full-time,188000,100,L
2020,mid,full-time,105000,100,L
2020,mid,full-time,70139,50,L
2020,entry,full-time,6072,0,S
2020,entry,full-time,91000,100,L
2020,entry,full-time,45896,50,S
2020,entry,full-time,54742,100,L
2020,senior,flexible,60000,100,S
2020,senior,full-time,148261,100,M
2020,mid,full-time,38776,100,M
2020,mid,full-time,118000,100,M
2020,senior,full-time,120000,50,L
2020,mid,full-time,138350,100,M
2020,mid,full-time,110000,100,L
2020,mid,full-time,130800,100,M
2020,entry,part-time,21669,50,S
2020,senior,full-time,412000,100,L
2020,senior,full-time,45618,100,S
2020,entry,full-time,62726,50,S
2020,entry,full-time,49268,0,S
2020,senior,full-time,190200,100,M
2020,entry,full-time,105000,100,S
2020,senior,full-time,91237,0,S
2020,mid,full-time,62726,50,S
2020,mid,full-time,42197,50,S
2021,entry,full-time,82528,50,L
2021,executive,full-time,150000,100,L
2021,executive,full-time,235000,100,L
2021,senior,full-time,53192,50,L
2021,mid,full-time,100000,100,M
2021,mid,part-time,5409,50,M
2021,mid,contract,270000,100,L
2021,entry,full-time,80000,100,M
2021,senior,full-time,79197,100,L
2021,mid,full-time,140000,100,L
2021,mid,full-time,54238,50,L
2021,mid,full-time,47282,100,S
2021,executive,full-time,153667,100,L
2021,mid,full-time,28476,100,L
2021,entry,full-time,59102,50,M
2021,mid,full-time,110000,100,L
2021,senior,full-time,170000,100,L
2021,senior,full-time,80000,100,S
2021,senior,full-time,88654,100,L
2021,entry,full-time,76833,100,S
2021,mid,full-time,19609,100,L
2021,senior,full-time,276000,0,L
2021,entry,full-time,29751,50,L
2021,mid,full-time,89294,50,L
2021,entry,part-time,12000,100,S
2021,mid,full-time,450000,100,L
